date,supplier,delivery_mode,amount,purchase_reference,user_account
2022-08-23,OPENING STOCKS,CASH SALE RECEIPT,54760.0,1,ADMIN
2022-08-23,OPENING STOCKS,CASH SALE RECEIPT,24740.0,2,ADMIN
2022-08-24,OPENING STOCKS,CASH SALE RECEIPT,13755.0,3,ADMIN
2022-08-24,OPENING STOCKS,CASH SALE RECEIPT,7915.0,4,ADMIN
2022-08-24,OPENING STOCKS,CASH SALE RECEIPT,410.0,5,ADMIN
2022-08-26,OPENING STOCKS,CASH SALE RECEIPT,415.0,4,KAISER
2022-08-26,EN LIGHT ELECTRICAL LIGHTING,INVOICE,106900.0,5746,KAISER
2022-08-26,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,150750.0,5745,KAISER
2022-08-26,EN LIGHT ELECTRICAL LIGHTING,INVOICE,309500.0,5743,KAISER
2022-08-26,EN LIGHT ELECTRICAL LIGHTING,INVOICE,32500.0,5747,KAISER
2022-08-26,EN LIGHT ELECTRICAL LIGHTING,INVOICE,150450.0,5744,KAISER
2022-08-27,EN LIGHT ELECTRICAL LIGHTING,INVOICE,45000.0,5750,KAISER
2022-08-27,EN LIGHT ELECTRICAL LIGHTING,INVOICE,158450.0,0406,KAISER
2022-08-27,OPENING STOCKS,CASH SALE RECEIPT,6000.0,77900,KAISER
2022-08-29,EN LIGHT ELECTRICAL LIGHTING,INVOICE,143600.0,0445,KAISER
2022-08-29,EN LIGHT ELECTRICAL LIGHTING,INVOICE,69000.0,0410,KAISER
2022-08-30,EN LIGHT ELECTRICAL LIGHTING,INVOICE,623000.0,0451,KAISER
2022-08-30,EN LIGHT ELECTRICAL LIGHTING,INVOICE,79850.0,30;8;2022,KAISER
2022-08-31,OPENING STOCKS,CASH SALE RECEIPT,2018576.0,555,KAISER
2022-08-31,EN LIGHT ELECTRICAL LIGHTING,INVOICE,123378.0,3047,KAISER
2022-08-31,EN LIGHT ELECTRICAL LIGHTING,INVOICE,238000.0,8979,KAISER
2022-09-02,EN LIGHT ELECTRICAL LIGHTING,INVOICE,204300.0,0049,KAISER
2022-09-03,OPENING STOCKS,CASH SALE RECEIPT,4850.0,0000,KAISER
2022-09-03,OPENING STOCKS,CASH SALE RECEIPT,240.0,88,KAISER
2022-09-06,OPENING STOCKS,CASH SALE RECEIPT,4000.0,7777,KAISER
2022-09-06,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,266.0,55,KAISER
2022-09-07,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,40.0,77,KAISER
2022-09-07,TEELUX,INVOICE,119100.0,0170,KAISER
2022-09-07,TEELUX,INVOICE,43700.0,0173,KAISER
2022-09-08,AFRILIGHT,CASH SALE RECEIPT,33050.0,1,KAISER
2022-09-08,TEELUX,INVOICE,17700.0,0232,KAISER
2022-09-09,TEELUX,INVOICE,42000.0,0237,KAISER
2022-09-10,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,490.0,2,KAISER
2022-09-10,OPENING STOCKS,CASH SALE RECEIPT,11000.0,3,KAISER
2022-09-10,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,280.0,11,KAISER
2022-09-10,ALLTOP,INVOICE,100.0,98,KAISER
2022-09-12,EN LIGHT ELECTRICAL LIGHTING,INVOICE,287350.0,6332,KAISER
2022-09-12,AFRILIGHT,CASH SALE RECEIPT,19000.0,555,KAISER
2022-09-12,ALLTOP,CASH SALE RECEIPT,240.0,4,KAISER
2022-09-14,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,280.0,2,KAISER
2022-09-14,DAT SOLAR,CASH SALE RECEIPT,10.0,2,KAISER
2022-09-15,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,70.0,4,KAISER
2022-09-15,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,11.0,4,KAISER
2022-09-16,EN LIGHT ELECTRICAL LIGHTING,INVOICE,360.0,2910,KAISER
2022-09-16,AFRILIGHT,CASH SALE RECEIPT,3200.0,8,KAISER
2022-09-20,EN LIGHT ELECTRICAL LIGHTING,INVOICE,13440.0,11,KAISER
2022-09-20,AFRILIGHT,CASH SALE RECEIPT,640.0,2,KAISER
2022-09-21,AFRILIGHT,CASH SALE RECEIPT,2000.0,1,KAISER
2022-09-21,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,1500.0,22222,KAISER
2022-09-22,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,60.0,9,KAISER
2022-09-23,EN LIGHT ELECTRICAL LIGHTING,INVOICE,640.0,9,KAISER
2022-09-23,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,60.0,8,KAISER
2022-09-23,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,40.0,8,KAISER
2022-09-23,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,120.0,333333,KAISER
2022-09-23,AFRILIGHT,CASH SALE RECEIPT,17400.0,2,KAISER
2022-09-23,AFRILIGHT,CASH SALE RECEIPT,4000.0,66,KAISER
2022-09-24,ALLTOP,INVOICE,666352.0,6748,KAISER
2022-09-24,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,140000.0,66,KAISER
2022-09-24,PURCHASE,CASH SALE RECEIPT,40.0,120,KAISER
2022-09-24,DAT SOLAR,CASH SALE RECEIPT,70.0,999,KAISER
2022-09-26,ALLTOP,CASH SALE RECEIPT,60.0,3,KAISER
2022-09-26,ALLTOP,CASH SALE RECEIPT,50.0,3,KAISER
2022-09-26,PURCHASE,CASH SALE RECEIPT,8400.0,10,ADMIN
2022-09-26,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,680.0,5,KAISER
2022-09-27,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,3500.0,7,KAISER
2022-09-27,AFRILIGHT,CASH SALE RECEIPT,2544.0,3,KAISER
2022-09-27,ALLTOP,CASH SALE RECEIPT,432.0,5,KAISER
2022-09-27,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,1335.0,5,KAISER
2022-09-27,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,2952.0,7,KAISER
2022-09-29,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,900.0,9,KAISER
2022-09-29,PURCHASE,CASH SALE RECEIPT,2750.0,2,KAISER
2022-09-29,TEELUX,CASH SALE RECEIPT,4620.0,5,KAISER
2022-09-30,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,0.0,55,KAISER
2022-09-30,EN LIGHT ELECTRICAL LIGHTING,CASH SALE RECEIPT,232700.0,99,KAISER
2022-09-30,OPTONICA,CASH SALE RECEIPT,24420.0,6654,KAISER
2022-09-30,EN LIGHT ELECTRICAL LIGHTING,INVOICE,655700.0,6919,KAISER
2022-09-30,PURCHASE,CASH SALE RECEIPT,0.02,4,KAISER
2022-09-30,EN LIGHT ELECTRICAL LIGHTING,INVOICE,117550.0,6988,KAISER
2022-10-01,OPTONICA,INVOICE,252400.0,0010,KAISER
2022-10-01,PURCHASE,INVOICE,492507.08,6275v,KAISER
2022-10-01,TEELUX,INVOICE,383000.0,0705,KAISER
2022-10-01,PURCHASE,CASH SALE RECEIPT,500.0,6566554,KAISER
2022-10-03,AFRILIGHT,INVOICE,200.0,3,KAISER
2022-10-03,PURCHASE,INVOICE,0.0,3,KAISER
2022-10-03,OPENING STOCKS,INVOICE,0.0,3,KAISER
2022-10-03,OPENING STOCKS,INVOICE,0.0,10,KAISER
2022-10-04,PURCHASE,CASH SALE RECEIPT,600000.0,555,KAISER
2022-10-05,PURCHASE,CASH SALE RECEIPT,5720.0,22,KAISER
2022-10-05,EN LIGHT ELECTRICAL LIGHTING,INVOICE,114200.0,7134,KAISER
2022-10-06,TEELUX,INVOICE,172050.0,0075,KAISER
2022-10-06,PURCHASE,CASH SALE RECEIPT,1600.0,4444,KAISER
2022-10-07,PURCHASE,CASH SALE RECEIPT,10.0,44,KAISER
2022-10-07,PURCHASE,CASH SALE RECEIPT,42.0,99,KAISER
2022-10-07,PURCHASE,CASH SALE RECEIPT,6060.0,33,KAISER
2022-10-07,PURCHASE,INVOICE,39000.0,44,KAISER
2022-10-07,PURCHASE,CASH SALE RECEIPT,340.0,55,KAISER
2022-10-08,PURCHASE,CASH SALE RECEIPT,101200.0,5,KAISER
2022-10-08,PURCHASE,CASH SALE RECEIPT,49.0,44,KAISER
2022-10-08,PURCHASE,CASH SALE RECEIPT,9500.0,66,KAISER
2022-10-08,ALLTOP,INVOICE,60.0,44,KAISER
2022-10-08,AFRILIGHT,CASH SALE RECEIPT,10440.0,66,KAISER
2022-10-08,PURCHASE,INVOICE,171120.0,3333,KAISER
2022-10-11,AFRILIGHT,INVOICE,0.0,230,SILAS
2022-10-11,PURCHASE,CASH SALE RECEIPT,190.0,10,SILAS
2022-10-11,PURCHASE,CASH SALE RECEIPT,18000.0,10,SILAS
2022-10-11,WINDSOR,INVOICE,0.0,verbal,SILAS
2022-10-11,WINDSOR,INVOICE,198025.0,verbal,SILAS
2022-10-12,PURCHASE,CASH SALE RECEIPT,60.0,1320,SILAS
2022-10-13,AFRILIGHT,INVOICE,454000.0,13102022,GABRIELLA
2022-10-14,STOCKS RECOUNT,CASH SALE RECEIPT,205102.0,1,ADMIN
2022-10-14,STOCKS RECOUNT,CASH SALE RECEIPT,352400.0,11,ADMIN
2022-10-14,STOCKS RECOUNT,CASH SALE RECEIPT,709200.0,4,ADMIN
2022-10-14,STOCKS RECOUNT,CASH SALE RECEIPT,3500.0,5,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,150177.88,5,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,22045.0,4,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,10645.0,5,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,12527.0,5,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,3300.0,5,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,44050.0,34,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,50133.1,4455,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,14410.0,1,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,234610.0,5,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,361890.0,6,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,63634.0,12,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,231022.0,6,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,102710.0,7,ADMIN
2022-10-15,STOCKS RECOUNT,CASH SALE RECEIPT,22950.0,7,ADMIN
2022-10-16,STOCKS RECOUNT,CASH SALE RECEIPT,772324.0,6,ADMIN
2022-10-16,STOCKS RECOUNT,CASH SALE RECEIPT,70702.0,7,ADMIN
2022-10-16,STOCKS RECOUNT,CASH SALE RECEIPT,271194.0,8,ADMIN
2022-10-16,STOCKS RECOUNT,CASH SALE RECEIPT,262.0,9,ADMIN
2022-10-17,STOCKS RECOUNT,CASH SALE RECEIPT,274166.0,9,ADMIN
2022-10-17,STOCKS RECOUNT,CASH SALE RECEIPT,532440.0,1,ADMIN
2022-10-17,STOCKS RECOUNT,CASH SALE RECEIPT,98039.0,12,ADMIN
2022-10-17,STOCKS RECOUNT,CASH SALE RECEIPT,416639.4,1,ADMIN
2022-10-24,AFRILIGHT,CASH SALE RECEIPT,10000.0,10,JERUU
2022-11-02,EDGE ELECTRONICS,INVOICE,3500.0,122,SHIKO
2022-11-02,STARMAN LIGHTING CO.LTD,INVOICE,2880.0,371,SHIKO
2022-11-02,STARMAN LIGHTING CO.LTD,INVOICE,1350.0,372,SHIKO
2022-11-02,TEELUX,INVOICE,6650.0,0067,SHIKO
2022-11-02,SOATIA VENTURES,INVOICE,107000.0,0669,SHIKO
2022-11-03,KAREITHI ELECTRICAL SHOP,INVOICE,1200.0,5963,SHIKO
2022-11-03,CITY VIEW,INVOICE,20160.0,1653,SHIKO
2022-11-04,GOLDMAX ELECTRICALS LTD,INVOICE,13080.0,1662,SHIKO
2022-11-04,TESTER,INVOICE,3500.0,1659,ADMIN
2022-11-04,NEW FAITH,INVOICE,6100.0,1671,ADMIN
2022-11-04,KING MAKER ELECTRICAL LTD,INVOICE,3300.0,1672,ADMIN
2022-11-04,KING MAKER ELECTRICAL LTD,INVOICE,900.0,1673,ADMIN
2022-11-04,DAMANY,INVOICE,32000.0,1660,ADMIN
2022-11-04,GOLDMAX ELECTRICALS LTD,INVOICE,600.0,1656,ADMIN
2022-11-04,PRIME POWER,INVOICE,29600.0,1657,ADMIN
2022-11-04,TESTER,INVOICE,122500.0,1658,ADMIN
2022-11-04,PURE POWER,INVOICE,5600.0,1654,ADMIN
2022-11-04,SMART JONES,INVOICE,32200.0,33,ADMIN
2022-11-04,VELLMAX EN LIGHT ELECTRICAL,INVOICE,18500.0,7929,ADMIN
2022-11-04,SMART JONES,INVOICE,106400.0,33,ADMIN
2022-11-04,TALAM,INVOICE,7500.0,1670,ADMIN
2022-11-04,MILLY SMARTS,INVOICE,18000.0,073,ADMIN
2022-11-04,CRANE SUPPLIERS,INVOICE,1500.0,1669,ADMIN
2022-11-04,GOLDMAX ELECTRICALS LTD,INVOICE,3600.0,1667,ADMIN
2022-11-04,POINTY POOL ENTERPRISES,INVOICE,550.0,1666,ADMIN
2022-11-04,LINNER SUPPLIERS,INVOICE,1100.0,1665,ADMIN
2022-11-04,NEW WISE,INVOICE,75000.0,1664,ADMIN
2022-11-04,MERRY SONS,INVOICE,4500.0,1668,ADMIN
2022-11-04,SOATIN VENTURES,INVOICE,5000.0,1743,ADMIN
2022-11-04,STARMAN LIGHTING CO.LTD,INVOICE,800.0,1683,ADMIN
2022-11-07,MILLY SMARTS,INVOICE,2900.0,121,ADMIN
2022-11-07,FOC K SUPLLY CHAIN,INVOICE,5000.0,9508,ADMIN
2022-11-07,CRANE SUPPLIERS,INVOICE,200.0,1709,ADMIN
2022-11-07,JOSEPH,INVOICE,900.0,1689,ADMIN
2022-11-07,TALAM,INVOICE,1250.0,1694,ADMIN
2022-11-07,KING MAKER ELECTRICAL LTD,INVOICE,1200.0,1696,ADMIN
